class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
up,0.7327122688293457,0.6598025560379028,-1.7307687997817993,0.9995834231376648,0.7702131867408752,0.5808468461036682,-1.7241885662078857,0.9991572499275208,0.7935463190078735,0.5770837068557739,-1.723588228225708,0.9990391135215759,0.81548672914505,0.5736318230628967,-1.7237834930419922,0.9989678859710693,0.6921600699424744,0.5820444226264954,-1.7101776599884033,0.9994530081748962,0.6649998426437378,0.5805206894874573,-1.7094738483428955,0.9994497895240784,0.6416404843330383,0.5785768628120422,-1.7095279693603516,0.9995220899581909,0.8483527302742004,0.5778379440307617,-1.3583279848098755,0.9988796710968018,0.6081393361091614,0.5846685171127319,-1.2635657787322998,0.99970942735672,0.7667523622512817,0.7428271174430847,-1.5718151330947876,0.9994534850120544,0.684684693813324,0.7366176843643188,-1.5456840991973877,0.9997093081474304,0.9775357246398926,0.8994942903518677,-0.9052671194076538,0.9915313720703125,0.4819750189781189,0.8178104758262634,-0.9047209620475769,0.9990006685256958,1.1542564630508423,1.3567496538162231,-0.8092829585075378,0.11035512387752533,0.2782161831855774,1.0465987920761108,-0.6854543685913086,0.5786464214324951,1.0911858081817627,1.6988261938095093,-0.9651657938957214,0.018871339038014412,0.21327710151672363,1.581830382347107,-0.9714877009391785,0.10861442983150482,1.10611891746521,1.815927505493164,-1.0448249578475952,0.018371257930994034,0.17251890897750854,1.709577202796936,-1.0846679210662842,0.07861225306987762,1.0514628887176514,1.8078160285949707,-1.084942102432251,0.028344159945845604,0.2353101223707199,1.7221773862838745,-1.1887757778167725,0.11664345860481262,1.033892035484314,1.761786937713623,-0.9972591400146484,0.03424230217933655,0.25942420959472656,1.6812961101531982,-1.024032711982727,0.1229081004858017,0.8370243310928345,1.666390061378479,-0.06206011772155762,0.00033403909765183926,0.49704068899154663,1.614786982536316,0.06640031188726425,0.00046403720625676215,0.768561065196991,2.3767614364624023,-0.017431965097784996,0.0002873122284654528,0.44919681549072266,2.3126988410949707,0.3021934926509857,0.00013243423018138856,0.7186737656593323,2.9832780361175537,0.7635200619697571,2.5308074327767827e-05,0.42270684242248535,2.9196698665618896,0.9742884635925293,3.3536646242282586e-06,0.7197011709213257,3.0879015922546387,0.8070680499076843,1.7820942957769148e-05,0.41430097818374634,3.0215349197387695,1.02591872215271,8.602078196418006e-06,0.641182541847229,3.192659616470337,0.1151018738746643,2.76875143754296e-05,0.46182680130004883,3.146240234375,0.29442209005355835,2.7775126000051387e-05
up,0.7327122688293457,0.6598025560379028,-1.7307687997817993,0.9995834231376648,0.7702131867408752,0.5808468461036682,-1.7241885662078857,0.9991572499275208,0.7935463190078735,0.5770837068557739,-1.723588228225708,0.9990391135215759,0.81548672914505,0.5736318230628967,-1.7237834930419922,0.9989678859710693,0.6921600699424744,0.5820444226264954,-1.7101776599884033,0.9994530081748962,0.6649998426437378,0.5805206894874573,-1.7094738483428955,0.9994497895240784,0.6416404843330383,0.5785768628120422,-1.7095279693603516,0.9995220899581909,0.8483527302742004,0.5778379440307617,-1.3583279848098755,0.9988796710968018,0.6081393361091614,0.5846685171127319,-1.2635657787322998,0.99970942735672,0.7667523622512817,0.7428271174430847,-1.5718151330947876,0.9994534850120544,0.684684693813324,0.7366176843643188,-1.5456840991973877,0.9997093081474304,0.9775357246398926,0.8994942903518677,-0.9052671194076538,0.9915313720703125,0.4819750189781189,0.8178104758262634,-0.9047209620475769,0.9990006685256958,1.1542564630508423,1.3567496538162231,-0.8092829585075378,0.11035512387752533,0.2782161831855774,1.0465987920761108,-0.6854543685913086,0.5786464214324951,1.0911858081817627,1.6988261938095093,-0.9651657938957214,0.018871339038014412,0.21327710151672363,1.581830382347107,-0.9714877009391785,0.10861442983150482,1.10611891746521,1.815927505493164,-1.0448249578475952,0.018371257930994034,0.17251890897750854,1.709577202796936,-1.0846679210662842,0.07861225306987762,1.0514628887176514,1.8078160285949707,-1.084942102432251,0.028344159945845604,0.2353101223707199,1.7221773862838745,-1.1887757778167725,0.11664345860481262,1.033892035484314,1.761786937713623,-0.9972591400146484,0.03424230217933655,0.25942420959472656,1.6812961101531982,-1.024032711982727,0.1229081004858017,0.8370243310928345,1.666390061378479,-0.06206011772155762,0.00033403909765183926,0.49704068899154663,1.614786982536316,0.06640031188726425,0.00046403720625676215,0.768561065196991,2.3767614364624023,-0.017431965097784996,0.0002873122284654528,0.44919681549072266,2.3126988410949707,0.3021934926509857,0.00013243423018138856,0.7186737656593323,2.9832780361175537,0.7635200619697571,2.5308074327767827e-05,0.42270684242248535,2.9196698665618896,0.9742884635925293,3.3536646242282586e-06,0.7197011709213257,3.0879015922546387,0.8070680499076843,1.7820942957769148e-05,0.41430097818374634,3.0215349197387695,1.02591872215271,8.602078196418006e-06,0.641182541847229,3.192659616470337,0.1151018738746643,2.76875143754296e-05,0.46182680130004883,3.146240234375,0.29442209005355835,2.7775126000051387e-05
up,0.39628660678863525,0.3385012447834015,-0.5488806962966919,0.9999953508377075,0.4041067957878113,0.32094255089759827,-0.5231190323829651,0.9999840259552002,0.4086371958255768,0.3207070529460907,-0.5231536626815796,0.9999797940254211,0.4130045473575592,0.32081136107444763,-0.523276686668396,0.9999780058860779,0.3882625997066498,0.32198572158813477,-0.5248494148254395,0.999984622001648,0.38285964727401733,0.32281047105789185,-0.5249738097190857,0.9999833106994629,0.37811240553855896,0.323394775390625,-0.5250465869903564,0.9999845027923584,0.4214726984500885,0.3299556374549866,-0.3742651343345642,0.9999579787254333,0.37185150384902954,0.3319454789161682,-0.381255179643631,0.999975323677063,0.40436601638793945,0.35796764492988586,-0.4925689101219177,0.9999948740005493,0.3868041932582855,0.35856226086616516,-0.4952682852745056,0.9999960660934448,0.4553855359554291,0.4379090666770935,-0.26215097308158875,0.9999251365661621,0.3265751004219055,0.42995598912239075,-0.2916589379310608,0.9999476671218872,0.4704577922821045,0.5664040446281433,-0.2463454008102417,0.9734915494918823,0.3072623610496521,0.5612592101097107,-0.3124171197414398,0.9842802286148071,0.47229108214378357,0.6686995625495911,-0.34478455781936646,0.8842664957046509,0.3027476668357849,0.6795747876167297,-0.4159674644470215,0.9193411469459534,0.4759764075279236,0.6957351565361023,-0.37970536947250366,0.7991372346878052,0.2992538511753082,0.7056981325149536,-0.45703840255737305,0.8468717336654663,0.4666239321231842,0.6950740814208984,-0.4057358205318451,0.8058339953422546,0.3095824718475342,0.6992998123168945,-0.48471012711524963,0.8488305807113647,0.46196627616882324,0.6882995367050171,-0.3570072054862976,0.7851032018661499,0.3130933940410614,0.6890544891357422,-0.428997278213501,0.8222611546516418,0.4197879731655121,0.5941775441169739,0.006265348754823208,0.9999139904975891,0.3496137261390686,0.5929654836654663,-0.006390628404915333,0.9999381303787231,0.46019458770751953,0.6922773718833923,-0.42420849204063416,0.9887872338294983,0.30690550804138184,0.6933491230010986,-0.42728152871131897,0.9927979707717896,0.4387364983558655,0.8312522768974304,-0.11136160045862198,0.9840149879455566,0.33069300651550293,0.8303273320198059,-0.1194959282875061,0.9955765604972839,0.4284031391143799,0.8523718118667603,-0.08859501779079437,0.9484314322471619,0.34276333451271057,0.8505553007125854,-0.09733425825834274,0.9591783881187439,0.46910715103149414,0.8769245147705078,-0.2554367184638977,0.9761762022972107,0.30933475494384766,0.885474443435669,-0.2760091722011566,0.989416778087616
down,0.40434399247169495,0.12035967409610748,-0.3639940321445465,0.9999949932098389,0.4133342206478119,0.10485152155160904,-0.3419835865497589,0.9999827742576599,0.41800743341445923,0.10600390285253525,-0.34200626611709595,0.9999802112579346,0.4221577048301697,0.10684852302074432,-0.3419778048992157,0.9999784827232361,0.39796918630599976,0.10240010917186737,-0.34560757875442505,0.9999829530715942,0.3930153548717499,0.10173510015010834,-0.3456139862537384,0.9999808073043823,0.3884707987308502,0.10095314681529999,-0.34563198685646057,0.9999793767929077,0.4300297200679779,0.11645875126123428,-0.1915200799703598,0.9999522566795349,0.38211071491241455,0.1114160493016243,-0.21054688096046448,0.9999669790267944,0.4129718244075775,0.14368517696857452,-0.3064838647842407,0.9999915957450867,0.39506930112838745,0.14186231791973114,-0.3120325803756714,0.9999929070472717,0.4627377986907959,0.23401428759098053,-0.0813833698630333,0.9999617338180542,0.3400893211364746,0.21949219703674316,-0.1276114583015442,0.9999699592590332,0.4763742983341217,0.35479626059532166,-0.04820176959037781,0.9798792004585266,0.31983238458633423,0.3440510630607605,-0.10263609886169434,0.9781807065010071,0.482302725315094,0.45468053221702576,-0.22329866886138916,0.9491091370582581,0.3166844844818115,0.446866512298584,-0.23166540265083313,0.9453274607658386,0.48318129777908325,0.48698046803474426,-0.26769712567329407,0.910930871963501,0.318428099155426,0.48331543803215027,-0.27579835057258606,0.9031931161880493,0.478218138217926,0.4826888144016266,-0.3161797523498535,0.9151398539543152,0.32456833124160767,0.477902889251709,-0.31694406270980835,0.9065762162208557,0.47421783208847046,0.47154444456100464,-0.24661827087402344,0.9019749164581299,0.3258010149002075,0.46604278683662415,-0.2506363093852997,0.8891967535018921,0.4286087155342102,0.4784905016422272,0.018419239670038223,0.9998447299003601,0.3526378273963928,0.47429317235946655,-0.0184868723154068,0.9998892545700073,0.44759517908096313,0.6571166515350342,0.048843517899513245,0.9939211010932922,0.3398723006248474,0.6537550091743469,-0.007977877743542194,0.9961958527565002,0.4400918483734131,0.8274819254875183,0.21738430857658386,0.9921682476997375,0.3312254250049591,0.8241363167762756,0.17926602065563202,0.9962972402572632,0.42855387926101685,0.8507491946220398,0.222959965467453,0.9462357759475708,0.34044939279556274,0.8427340984344482,0.18684132397174835,0.9302302002906799,0.4739949703216553,0.8798736333847046,0.05478450655937195,0.987473726272583,0.31381097435951233,0.885180652141571,0.012346116825938225,0.9919980764389038
down,0.39195317029953003,0.29929181933403015,-0.5918113589286804,0.9999978542327881,0.40071162581443787,0.2822830379009247,-0.5683562755584717,0.9999926686286926,0.4055147171020508,0.2824459373950958,-0.5683769583702087,0.9999914765357971,0.4087141454219818,0.2827204167842865,-0.5685113668441772,0.9999915361404419,0.3847510814666748,0.2815522849559784,-0.569532036781311,0.9999929666519165,0.37926673889160156,0.2812207043170929,-0.5696399807929993,0.9999918937683105,0.3750552833080292,0.2810119390487671,-0.5696452260017395,0.9999916553497314,0.41577035188674927,0.28804999589920044,-0.41218748688697815,0.9999828338623047,0.3692425787448883,0.28533628582954407,-0.4186789095401764,0.9999858140945435,0.4007599949836731,0.31806012988090515,-0.5314871072769165,0.9999957084655762,0.3818610608577728,0.31932175159454346,-0.5333762764930725,0.9999963641166687,0.4549036920070648,0.39247894287109375,-0.2993946373462677,0.9999714493751526,0.3235504627227783,0.3876206576824188,-0.2947792112827301,0.9999793767929077,0.474619060754776,0.525740385055542,-0.28614097833633423,0.9866175055503845,0.2945270836353302,0.5175365805625916,-0.2773763835430145,0.9825433492660522,0.4904586672782898,0.6462587118148804,-0.3810425102710724,0.9634365439414978,0.28127437829971313,0.6484254598617554,-0.37876564264297485,0.9456494450569153,0.49507394433021545,0.6783578395843506,-0.4180820882320404,0.9164138436317444,0.27669626474380493,0.6777065396308899,-0.41449132561683655,0.8897074460983276,0.48803263902664185,0.6779993176460266,-0.44966235756874084,0.9226714372634888,0.2828625738620758,0.6767844557762146,-0.45184725522994995,0.8967735171318054,0.4838624596595764,0.6708875894546509,-0.39535683393478394,0.9099593758583069,0.2870560884475708,0.6685137152671814,-0.3958941400051117,0.884627640247345,0.425478994846344,0.5646607279777527,0.0037663080729544163,0.9998171925544739,0.3497890830039978,0.5619016885757446,-0.0037804557941854,0.9999000430107117,0.45949774980545044,0.6792601346969604,-0.4035949110984802,0.9933594465255737,0.3125302195549011,0.67694091796875,-0.42120084166526794,0.9965579509735107,0.4399484694004059,0.8346817493438721,-0.12469009310007095,0.9926729202270508,0.32580116391181946,0.8356208205223083,-0.1486327350139618,0.9966912865638733,0.4290589392185211,0.854633629322052,-0.10622378438711166,0.9560364484786987,0.33831918239593506,0.8540499210357666,-0.13070306181907654,0.9448702931404114,0.4664064049720764,0.8796446323394775,-0.27995604276657104,0.9889307618141174,0.30147784948349,0.8921884298324585,-0.3160010278224945,0.9927695989608765
up,0.40248745679855347,0.15018311142921448,-0.4163464605808258,0.9999958872795105,0.41031089425086975,0.13471265137195587,-0.3954848647117615,0.9999859929084778,0.41450825333595276,0.1353747695684433,-0.3955215513706207,0.9999831914901733,0.4191056191921234,0.13615545630455017,-0.3955213129520416,0.9999824166297913,0.39563900232315063,0.13289377093315125,-0.39608797430992126,0.9999855160713196,0.39080238342285156,0.13248798251152039,-0.39609986543655396,0.9999837875366211,0.38647741079330444,0.13195738196372986,-0.3960720896720886,0.9999831914901733,0.42700380086898804,0.1439204216003418,-0.24681326746940613,0.9999687075614929,0.37958088517189026,0.13983255624771118,-0.2504946291446686,0.9999732375144958,0.41059479117393494,0.17248019576072693,-0.359418123960495,0.9999949336051941,0.3932633101940155,0.1702122688293457,-0.36058032512664795,0.9999951720237732,0.46137577295303345,0.2597827613353729,-0.14502888917922974,0.9999685883522034,0.3357083797454834,0.24872948229312897,-0.13952746987342834,0.999961256980896,0.47810691595077515,0.3769935965538025,-0.13524559140205383,0.9870486855506897,0.3100074827671051,0.3659462034702301,-0.11804763227701187,0.9809632301330566,0.49797552824020386,0.4736555218696594,-0.3283551335334778,0.9474391341209412,0.2891567349433899,0.46525660157203674,-0.28736087679862976,0.9406707286834717,0.5003353357315063,0.5061115622520447,-0.37412315607070923,0.8996583819389343,0.2827061712741852,0.49560797214508057,-0.3261399567127228,0.8878953456878662,0.49646052718162537,0.5029118657112122,-0.4225171208381653,0.9061158895492554,0.28663313388824463,0.49165090918540955,-0.3628065288066864,0.8932178616523743,0.492964506149292,0.4908559024333954,-0.3505454659461975,0.89312744140625,0.2918393015861511,0.4824853837490082,-0.3083803057670593,0.8756906986236572,0.42457109689712524,0.4965916872024536,0.005700807087123394,0.9998857975006104,0.3493043780326843,0.49287906289100647,-0.0057658543810248375,0.9999083280563354,0.45439082384109497,0.6669442057609558,-0.00560544291511178,0.9928110241889954,0.3223719596862793,0.6717866063117981,-0.016768643632531166,0.9951808452606201,0.4411679804325104,0.8334758281707764,0.17250527441501617,0.9911618828773499,0.32457852363586426,0.831278383731842,0.1676245629787445,0.9965428113937378,0.43102535605430603,0.8551379442214966,0.17874887585639954,0.9489268660545349,0.33704909682273865,0.8525209426879883,0.17377617955207825,0.956836998462677,0.47682103514671326,0.8818458318710327,0.010773584246635437,0.9854090809822083,0.3004256784915924,0.8880774974822998,0.005395035725086927,0.9917912483215332
down,0.38907453417778015,0.29449838399887085,-0.5463880300521851,0.9999976754188538,0.3974068760871887,0.27681779861450195,-0.5209671258926392,0.9999915361404419,0.40253472328186035,0.2766176164150238,-0.5209832191467285,0.9999905824661255,0.4065259099006653,0.2766930162906647,-0.5211023688316345,0.9999904036521912,0.38236552476882935,0.27722427248954773,-0.5228220224380493,0.9999922513961792,0.3775315582752228,0.2773299813270569,-0.5229424238204956,0.9999911785125732,0.372650682926178,0.2774808704853058,-0.5229640603065491,0.9999905228614807,0.41350889205932617,0.2823093831539154,-0.36412766575813293,0.9999809265136719,0.367676317691803,0.28261229395866394,-0.3729133903980255,0.9999839663505554,0.39772748947143555,0.31328561902046204,-0.4868912696838379,0.9999945759773254,0.380067378282547,0.31387564539909363,-0.48948341608047485,0.9999951720237732,0.4522973895072937,0.3926078975200653,-0.25282567739486694,0.9999706745147705,0.3232857882976532,0.3846728205680847,-0.2696325182914734,0.9999803304672241,0.47362035512924194,0.5191757678985596,-0.23162440955638885,0.9851642847061157,0.3003602623939514,0.5151128172874451,-0.26799434423446655,0.9812068939208984,0.49378007650375366,0.6321442723274231,-0.33147552609443665,0.9576336741447449,0.2853718400001526,0.6409956812858582,-0.3746865689754486,0.944648265838623,0.5012882351875305,0.6625394225120544,-0.36638763546943665,0.9056248068809509,0.27959123253822327,0.6725718975067139,-0.4125797152519226,0.8884842395782471,0.4925602376461029,0.6631399393081665,-0.39793771505355835,0.9132466316223145,0.2860797345638275,0.6709377765655518,-0.44811445474624634,0.8962855935096741,0.48813074827194214,0.6537235379219055,-0.34639599919319153,0.8992838263511658,0.2905226945877075,0.6617223024368286,-0.39140015840530396,0.8834241628646851,0.4217046797275543,0.5687829852104187,0.004291624296456575,0.9998148679733276,0.34704238176345825,0.5672334432601929,-0.004354066215455532,0.9999028444290161,0.4569530487060547,0.6807176470756531,-0.39479580521583557,0.9942868947982788,0.30575281381607056,0.6768993735313416,-0.40554237365722656,0.9973210096359253,0.4465174674987793,0.8383876085281372,-0.11732293665409088,0.9939432144165039,0.3249063789844513,0.8349177837371826,-0.12442176043987274,0.9971577525138855,0.4350808262825012,0.8580535650253296,-0.09905712306499481,0.9588022232055664,0.3374374210834503,0.8533372282981873,-0.10546964406967163,0.9528865218162537,0.47403812408447266,0.8849789500236511,-0.2730518579483032,0.990127682685852,0.3009518086910248,0.8918569684028625,-0.285671591758728,0.993623673915863
down,0.39096400141716003,0.38264134526252747,-0.5637975335121155,0.999996542930603,0.39956095814704895,0.36428049206733704,-0.5389842391014099,0.9999895691871643,0.4039738178253174,0.36394816637039185,-0.5390385985374451,0.9999870657920837,0.40852871537208557,0.3636547327041626,-0.5391926169395447,0.9999873638153076,0.3831583261489868,0.365353524684906,-0.5409635901451111,0.9999881386756897,0.3771879971027374,0.3654729723930359,-0.5410543084144592,0.9999857544898987,0.37307673692703247,0.36573782563209534,-0.5410791635513306,0.9999863505363464,0.4167364239692688,0.3706742823123932,-0.3888646960258484,0.99997478723526,0.36683863401412964,0.3735544979572296,-0.3981519937515259,0.9999727010726929,0.4001105725765228,0.3992551565170288,-0.507217288017273,0.9999963045120239,0.3813849687576294,0.40209463238716125,-0.5098140835762024,0.9999964833259583,0.45542898774147034,0.47455838322639465,-0.2874450981616974,0.9999592900276184,0.3225395381450653,0.4686948359012604,-0.30223292112350464,0.999943733215332,0.4804099202156067,0.6063846945762634,-0.3138923645019531,0.9836190938949585,0.2951495945453644,0.5957731604576111,-0.32984480261802673,0.9833526015281677,0.4927869439125061,0.7242190837860107,-0.43610620498657227,0.9444551467895508,0.2844078242778778,0.7254608273506165,-0.4429652690887451,0.9308918118476868,0.5003384351730347,0.7570628523826599,-0.48015737533569336,0.8853700757026672,0.2761097550392151,0.7526112198829651,-0.4842495322227478,0.8649871945381165,0.48656028509140015,0.7557024359703064,-0.5097962021827698,0.8947219848632812,0.28861209750175476,0.7545966506004333,-0.5191164016723633,0.8710296154022217,0.4817269742488861,0.7488744854927063,-0.45171141624450684,0.8813828229904175,0.2948387861251831,0.7465248107910156,-0.459507554769516,0.8525192737579346,0.42044299840927124,0.6272376179695129,0.0035410330165177584,0.9998871684074402,0.34823858737945557,0.6287355422973633,-0.00352212181314826,0.9999246001243591,0.4576977789402008,0.6671748757362366,-0.4446392059326172,0.99288010597229,0.3091282248497009,0.6789441704750061,-0.4320950508117676,0.9950326681137085,0.4461212754249573,0.8346442580223083,-0.149198979139328,0.9915041923522949,0.32454246282577515,0.8304632902145386,-0.1347198635339737,0.9969078302383423,0.4346935749053955,0.8565819263458252,-0.12777109444141388,0.9625710248947144,0.33533066511154175,0.8532381653785706,-0.11296632140874863,0.967532753944397,0.474973201751709,0.8778987526893616,-0.2970470190048218,0.9868857860565186,0.30191072821617126,0.8875039219856262,-0.29116877913475037,0.9924119710922241
up,0.40772491693496704,0.13546417653560638,-0.42883142828941345,0.9999971985816956,0.41620469093322754,0.11985088139772415,-0.4065137803554535,0.9999906420707703,0.42041921615600586,0.12066878378391266,-0.40654152631759644,0.9999887347221375,0.425322949886322,0.12149783968925476,-0.4065578579902649,0.999988317489624,0.4009071886539459,0.11725805699825287,-0.4087119996547699,0.999989926815033,0.3956347107887268,0.11670486629009247,-0.4087168574333191,0.9999885559082031,0.39119505882263184,0.11609411984682083,-0.40868860483169556,0.9999881386756897,0.4331596791744232,0.13036523759365082,-0.2513847351074219,0.999978244304657,0.3840218782424927,0.12554152309894562,-0.2625528573989868,0.9999800324440002,0.41586607694625854,0.1581619381904602,-0.3693603575229645,0.9999966025352478,0.3980002999305725,0.15668624639511108,-0.37275558710098267,0.9999964237213135,0.4661386013031006,0.24800065159797668,-0.13695204257965088,0.9999729990959167,0.3409996032714844,0.23215581476688385,-0.14608672261238098,0.9999656081199646,0.4820987582206726,0.36670127511024475,-0.06881332397460938,0.9869642853736877,0.31401777267456055,0.35433152318000793,-0.0822732150554657,0.9774808883666992,0.4997965693473816,0.46909859776496887,-0.20519359409809113,0.950341522693634,0.2928951680660248,0.4594830572605133,-0.20021876692771912,0.9365631341934204,0.501443088054657,0.4982236921787262,-0.24207015335559845,0.9063801765441895,0.28661593794822693,0.4867590069770813,-0.2389189451932907,0.8827590346336365,0.49820488691329956,0.49675047397613525,-0.295855849981308,0.9127093553543091,0.2900446653366089,0.48508599400520325,-0.28952085971832275,0.8888666033744812,0.49445128440856934,0.486850380897522,-0.2294073849916458,0.8997997641563416,0.2953971028327942,0.47720614075660706,-0.22393719851970673,0.8720445036888123,0.4277961850166321,0.48595064878463745,0.005271999165415764,0.9998804926872253,0.3525858521461487,0.4816721975803375,-0.0053141252137720585,0.9999115467071533,0.4581625461578369,0.664779007434845,0.006042429246008396,0.9941636323928833,0.3252090811729431,0.6663408875465393,-0.022252485156059265,0.9962751865386963,0.4460851550102234,0.8331254720687866,0.1759597808122635,0.9932999610900879,0.3230113983154297,0.8301829695701599,0.15726163983345032,0.9973159432411194,0.43484988808631897,0.854471743106842,0.1808592826128006,0.9544165134429932,0.3336862325668335,0.8507965803146362,0.16255038976669312,0.9607142210006714,0.47944825887680054,0.8817709684371948,0.0033929150085896254,0.9886389970779419,0.3003230690956116,0.8876311182975769,-0.01472734659910202,0.9933293461799622
up,0.4041150212287903,0.11628814786672592,-0.42578911781311035,0.999997079372406,0.412559449672699,0.10149423778057098,-0.40494513511657715,0.9999890327453613,0.41752132773399353,0.10252440720796585,-0.4049399793148041,0.9999880194664001,0.4209570288658142,0.10343937575817108,-0.4049261212348938,0.9999875426292419,0.39751046895980835,0.09979213774204254,-0.4074587821960449,0.9999892115592957,0.392721027135849,0.0996677353978157,-0.4074859619140625,0.9999879002571106,0.3875894844532013,0.09947875887155533,-0.4074724316596985,0.9999866485595703,0.4286557137966156,0.11400759220123291,-0.250353068113327,0.9999734163284302,0.38229337334632874,0.11042602360248566,-0.26398223638534546,0.9999762773513794,0.41339483857154846,0.1389579325914383,-0.3659197688102722,0.9999938011169434,0.39444395899772644,0.13760513067245483,-0.370021790266037,0.9999938011169434,0.4642558991909027,0.2293456345796585,-0.11053414642810822,0.9999698996543884,0.3401653468608856,0.2129826843738556,-0.1527051031589508,0.9999721050262451,0.4825625419616699,0.34570565819740295,-0.05803249403834343,0.9879681468009949,0.3136215806007385,0.33163347840309143,-0.08278095722198486,0.9775082468986511,0.4990951418876648,0.4451341927051544,-0.20582759380340576,0.9711044430732727,0.2995850443840027,0.44028738141059875,-0.1982109546661377,0.9488610029220581,0.500751256942749,0.47540563344955444,-0.244625523686409,0.9414416551589966,0.2925339341163635,0.46990451216697693,-0.23632590472698212,0.9047239422798157,0.49732455611228943,0.4729540944099426,-0.2963970899581909,0.9462601542472839,0.2971329689025879,0.46720755100250244,-0.28475603461265564,0.9109746813774109,0.49409279227256775,0.4631662368774414,-0.2299899309873581,0.936091423034668,0.3021541237831116,0.4587424695491791,-0.2202521562576294,0.8980091214179993,0.4300633370876312,0.46612992882728577,0.012675857171416283,0.999763548374176,0.35435041785240173,0.4633401334285736,-0.01272763591259718,0.9998586177825928,0.44285669922828674,0.649745762348175,0.01746709644794464,0.9958522915840149,0.3408273458480835,0.6508423089981079,-0.021397029981017113,0.9977108240127563,0.4452899992465973,0.8289048075675964,0.1678924709558487,0.9956403374671936,0.3240531086921692,0.8279682993888855,0.14084261655807495,0.997773289680481,0.4343021512031555,0.852989137172699,0.17217622697353363,0.9560719132423401,0.334274560213089,0.8484547734260559,0.14168015122413635,0.9447507262229919,0.4816945195198059,0.8830479979515076,-0.007261714898049831,0.9922578930854797,0.30372416973114014,0.8873434066772461,-0.04296676442027092,0.9945871829986572
